time_s,clean_after_pga_uV,ideal_decimated_uV,adc_out_uV,error_uV,fifo_spi_code_int24
7.199999999999999456e-02,-9.967550809894046324e+03,-8.135018944653236758e+03,-7.812500000000000000e+03,3.225189446532366446e+02,-1.310720000000000000e+06
7.599999999999999811e-02,-1.173792744258516541e+04,-1.045831187323894119e+04,-1.093750000000000182e+04,-4.791881267610601753e+02,-1.835008000000000000e+06
8.000000000000000167e-02,-1.291107738544248423e+04,-1.221376189583174528e+04,-1.250000000000000000e+04,-2.862381041682550631e+02,-2.097152000000000000e+06
8.400000000000000522e-02,-1.344539431656928355e+04,-1.329479469949063787e+04,-1.250000000000000000e+04,7.947946994906369582e+02,-2.097152000000000000e+06
8.799999999999999489e-02,-1.333038518405030482e+04,-1.376592805249376033e+04,-1.406250000000000000e+04,-2.965719475062408037e+02,-2.359296000000000000e+06
9.199999999999999845e-02,-1.258629850078140589e+04,-1.388223112468565341e+04,-1.406250000000000000e+04,-1.802688753143478380e+02,-2.359296000000000000e+06
9.600000000000000200e-02,-1.126222632379155220e+04,-1.326036509264093365e+04,-1.250000000000000000e+04,7.603650926409320618e+02,-2.097152000000000000e+06
1.000000000000000056e-01,-9.432824390913028765e+03,-1.173556752210393279e+04,-1.250000000000000000e+04,-7.644324778960670983e+02,-2.097152000000000000e+06
1.039999999999999952e-01,-7.193864368977093363e+03,-1.018500901455561871e+04,-9.375000000000001819e+03,8.100090145556175685e+02,-1.572864000000000000e+06
1.079999999999999988e-01,-4.656887888492860839e+03,-8.031120921787676707e+03,-7.812500000000000000e+03,2.186209217876766786e+02,-1.310720000000000000e+06
1.120000000000000023e-01,-1.943271210462877661e+03,-5.490781795388069440e+03,-6.250000000000000000e+03,-7.592182046119305596e+02,-1.048576000000000000e+06
1.160000000000000059e-01,8.219697739381094834e+02,-2.996865112558398778e+03,-3.125000000000000000e+03,-1.281348874416013359e+02,-5.242880000000000000e+05
1.199999999999999956e-01,3.516302629273393450e+03,-6.308114199099807138e+02,0.000000000000000000e+00,6.308114199099807138e+02,0.000000000000000000e+00
1.239999999999999991e-01,6.025414595818902853e+03,2.128160254103402167e+03,1.562500000000000000e+03,-5.656602541034019396e+02,2.621440000000000000e+05
1.280000000000000027e-01,8.248280600054109527e+03,4.764897074516203247e+03,4.687500000000000909e+03,-7.739707451620212453e+01,7.864320000000000000e+05
1.320000000000000062e-01,1.010132981165135971e+04,7.260591298625486161e+03,7.812500000000000000e+03,5.519087013745142940e+02,1.310720000000000000e+06
1.360000000000000098e-01,1.152153682544840012e+04,9.087749251747953167e+03,9.375000000000001819e+03,2.872507482520481972e+02,1.572864000000000000e+06
1.400000000000000133e-01,1.246833025690091745e+04,1.038226518326436417e+04,9.375000000000001819e+03,-1.007265183264362236e+03,1.572864000000000000e+06
1.439999999999999891e-01,1.292428148003774550e+04,1.152540250046625442e+04,1.250000000000000000e+04,9.745974995337465998e+02,2.097152000000000000e+06
1.479999999999999927e-01,1.289460518925518772e+04,1.173691819416595899e+04,1.093750000000000182e+04,-7.994181941659572885e+02,1.835008000000000000e+06
1.519999999999999962e-01,1.240556740792522396e+04,1.148198220767739986e+04,1.093750000000000182e+04,-5.444822076773984918e+02,1.835008000000000000e+06
1.559999999999999998e-01,1.150195191180693109e+04,1.137660587637327626e+04,1.250000000000000000e+04,1.123394123626724877e+03,2.097152000000000000e+06
1.600000000000000033e-01,1.024377984213169111e+04,1.060271511663748242e+04,1.093750000000000182e+04,3.347848833625179736e+02,1.835008000000000000e+06
1.640000000000000069e-01,8.702507418140932714e+03,9.328496175151749412e+03,7.812500000000000000e+03,-1.515996175151749412e+03,1.310720000000000000e+06
1.680000000000000104e-01,6.956941904766664265e+03,7.609804804150763630e+03,7.812500000000000000e+03,2.026951958492362564e+02,1.310720000000000000e+06
1.719999999999999862e-01,5.089116097071860167e+03,5.980152920950265980e+03,6.250000000000000000e+03,2.698470790497339067e+02,1.048576000000000000e+06
1.759999999999999898e-01,3.180347251340087496e+03,4.208847368225027822e+03,4.687500000000000909e+03,4.786526317749730310e+02,7.864320000000000000e+05
1.799999999999999933e-01,1.307679206278584843e+03,2.279349190393512799e+03,1.562500000000000000e+03,-7.168491903935129130e+02,2.621440000000000000e+05
1.839999999999999969e-01,-4.591312667010056998e+02,5.047419084394808237e+02,1.562500000000000000e+03,1.057758091560519460e+03,2.621440000000000000e+05
1.880000000000000004e-01,-2.059968149581308808e+03,-1.203452928111488745e+03,-1.562500000000000000e+03,-3.590470718885113683e+02,-2.621440000000000000e+05
1.920000000000000040e-01,-3.445983775813434022e+03,-2.892619868949624106e+03,-3.125000000000000000e+03,-2.323801310503762068e+02,-5.242880000000000000e+05
1.960000000000000075e-01,-4.580484686583414259e+03,-4.361532823759174789e+03,-4.687500000000000909e+03,-3.259671762408256654e+02,-7.864320000000000000e+05
2.000000000000000111e-01,-5.439108056016434602e+03,-5.401346480191456976e+03,-4.687500000000000909e+03,7.138464801914566351e+02,-7.864320000000000000e+05
2.039999999999999869e-01,-6.009363385993147858e+03,-6.372693868894411025e+03,-6.250000000000000000e+03,1.226938688944105280e+02,-1.048576000000000000e+06
2.079999999999999905e-01,-6.289648411149487401e+03,-7.076264090986494011e+03,-7.812500000000000000e+03,-7.362359090135059887e+02,-1.310720000000000000e+06
2.119999999999999940e-01,-6.287872320415249305e+03,-7.471573415151447080e+03,-7.812500000000000000e+03,-3.409265848485524657e+02,-1.310720000000000000e+06
2.159999999999999976e-01,-6.019832332125741232e+03,-7.085600047175005784e+03,-6.250000000000000000e+03,8.356000471750057841e+02,-1.048576000000000000e+06
2.200000000000000011e-01,-5.507491015959147262e+03,-6.803365533369371406e+03,-6.250000000000000000e+03,5.533655333693712919e+02,-1.048576000000000000e+06
2.240000000000000047e-01,-4.777292021253035273e+03,-6.099013679855211194e+03,-6.250000000000000000e+03,-1.509863201447888059e+02,-1.048576000000000000e+06
2.280000000000000082e-01,-3.858632302676063773e+03,-5.561404571224041320e+03,-6.250000000000000000e+03,-6.885954287759593626e+02,-1.048576000000000000e+06
2.320000000000000118e-01,-2.782581451528601974e+03,-4.649734660800513666e+03,-4.687500000000000909e+03,-3.776533919948744256e+01,-7.864320000000000000e+05
2.359999999999999876e-01,-1.580905782050764401e+03,-3.703566292449068442e+03,-3.125000000000000000e+03,5.785662924490684418e+02,-5.242880000000000000e+05
2.399999999999999911e-01,-2.854191603035827711e+02,-2.572176029740978265e+03,-3.125000000000000000e+03,-5.528239702590220759e+02,-5.242880000000000000e+05
2.439999999999999947e-01,1.072352895473701210e+03,-1.595458619360689681e+03,-1.562500000000000000e+03,3.295861936068950371e+01,-2.621440000000000000e+05
2.479999999999999982e-01,2.461241740185328126e+03,-1.526022054784011459e+02,0.000000000000000000e+00,1.526022054784011459e+02,0.000000000000000000e+00
2.520000000000000018e-01,3.850309492663433048e+03,1.249731189708353440e+03,1.562500000000000000e+03,3.127688102916466732e+02,2.621440000000000000e+05
2.560000000000000053e-01,5.208620199665089785e+03,2.585104453833744628e+03,1.562500000000000000e+03,-1.022604453833744742e+03,2.621440000000000000e+05
2.600000000000000089e-01,6.505010190195949690e+03,3.882065434727506727e+03,4.687500000000000909e+03,8.054345652724940692e+02,7.864320000000000000e+05
2.640000000000000124e-01,7.707959615894130366e+03,5.412128401952192689e+03,4.687500000000000909e+03,-7.246284019521917799e+02,7.864320000000000000e+05
2.680000000000000160e-01,8.785657315025717253e+03,6.594979408348561265e+03,7.812500000000000000e+03,1.217520591651438508e+03,1.310720000000000000e+06
2.720000000000000195e-01,9.706332103110973549e+03,7.263197421690553711e+03,6.250000000000000000e+03,-1.013197421690553483e+03,1.048576000000000000e+06
2.760000000000000231e-01,1.043889685581630329e+04,8.153207135436197859e+03,7.812500000000000000e+03,-3.407071354361978592e+02,1.310720000000000000e+06
2.800000000000000266e-01,1.095391939229046147e+04,8.942043156679957974e+03,9.375000000000001819e+03,4.329568433200439586e+02,1.572864000000000000e+06
2.839999999999999747e-01,1.122489873455727320e+04,9.456464436055772239e+03,9.375000000000001819e+03,-8.146443605577118774e+01,1.572864000000000000e+06
2.879999999999999782e-01,1.122978963751906485e+04,9.719404013754932748e+03,9.375000000000001819e+03,-3.444040137549307588e+02,1.572864000000000000e+06
2.919999999999999818e-01,1.095268526105427736e+04,9.597710309120802776e+03,1.093750000000000182e+04,1.339789690879198588e+03,1.835008000000000000e+06
2.959999999999999853e-01,1.038554026755402447e+04,9.156201633383370790e+03,7.812500000000000000e+03,-1.343701633383371018e+03,1.310720000000000000e+06
2.999999999999999889e-01,9.529796919676706239e+03,8.450712951758541749e+03,9.375000000000001819e+03,9.242870482414588196e+02,1.572864000000000000e+06
3.039999999999999925e-01,8.397766854185090779e+03,7.645648330746247666e+03,7.812500000000000000e+03,1.668516692537522204e+02,1.310720000000000000e+06
3.079999999999999960e-01,7.013622384839189181e+03,6.550996810725770956e+03,6.250000000000000000e+03,-3.009968107257707857e+02,1.048576000000000000e+06
3.119999999999999996e-01,5.413863937584333144e+03,4.954014011718577422e+03,4.687500000000000909e+03,-2.665140117185764552e+02,7.864320000000000000e+05
3.160000000000000031e-01,3.647154218345317076e+03,3.461028837352127539e+03,3.125000000000000000e+03,-3.360288373521272547e+02,5.242880000000000000e+05
3.200000000000000067e-01,1.773443809154851579e+03,1.934544576001693258e+03,3.125000000000000000e+03,1.190455423998306969e+03,5.242880000000000000e+05
3.240000000000000102e-01,-1.376448307782280267e+02,-1.134278850975752384e+01,0.000000000000000000e+00,1.134278850975752384e+01,0.000000000000000000e+00
3.280000000000000138e-01,-2.009160082479617131e+03,-1.609063436339186183e+03,-1.562500000000000000e+03,4.656343633918603331e+01,-2.621440000000000000e+05
3.320000000000000173e-01,-3.759825269666311669e+03,-3.361915647659915066e+03,-4.687500000000000909e+03,-1.325584352340085843e+03,-7.864320000000000000e+05
3.360000000000000209e-01,-5.307589162646944715e+03,-4.961411628884075981e+03,-4.687500000000000909e+03,2.739116288840749576e+02,-7.864320000000000000e+05
3.400000000000000244e-01,-6.573562502340981155e+03,-6.489710621946551328e+03,-6.250000000000000000e+03,2.397106219465512993e+02,-1.048576000000000000e+06
3.439999999999999725e-01,-7.486142316143044809e+03,-7.631773254715959411e+03,-7.812500000000000000e+03,-1.807267452840401916e+02,-1.310720000000000000e+06
3.479999999999999760e-01,-7.985098426861903135e+03,-8.584708789534939569e+03,-7.812500000000000000e+03,7.722087895349391147e+02,-1.310720000000000000e+06
3.519999999999999796e-01,-8.025382009055321760e+03,-9.206105073681459544e+03,-9.375000000000001819e+03,-1.688949263185419909e+02,-1.572864000000000000e+06
3.559999999999999831e-01,-7.580415919602310169e+03,-9.249307751522688704e+03,-9.375000000000001819e+03,-1.256922484773135409e+02,-1.572864000000000000e+06
3.599999999999999867e-01,-6.644641538103411222e+03,-8.821761273859354333e+03,-9.375000000000001819e+03,-5.532387261406469179e+02,-1.572864000000000000e+06
3.639999999999999902e-01,-5.235126761842729138e+03,-7.623254561457331874e+03,-7.812500000000000000e+03,-1.892454385426685235e+02,-1.310720000000000000e+06
3.679999999999999938e-01,-3.392083407436347898e+03,-5.858279531420852436e+03,-4.687500000000000909e+03,1.170779531420851981e+03,-7.864320000000000000e+05
3.719999999999999973e-01,-1.178197456726291875e+03,-4.364939346468289841e+03,-4.687500000000000909e+03,-3.225606535317108978e+02,-7.864320000000000000e+05
3.760000000000000009e-01,1.323260582056872863e+03,-2.496646574656313987e+03,-3.125000000000000000e+03,-6.283534253436863537e+02,-5.242880000000000000e+05
3.800000000000000044e-01,4.011509022722597820e+03,-3.446893640521718680e+02,0.000000000000000000e+00,3.446893640521718680e+02,0.000000000000000000e+00
3.840000000000000080e-01,6.772405926654085306e+03,2.147221920722593040e+03,1.562500000000000000e+03,-5.847219207225930404e+02,2.621440000000000000e+05
3.880000000000000115e-01,9.483504680003636167e+03,4.875060873523529153e+03,4.687500000000000909e+03,-1.875608735235284996e+02,7.864320000000000000e+05
